Rule   (Support, Confidence) 
Gene YDL025C high -> Gene YMR046C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YIR032C high  (1.6667%, 35.7143%)
Gene YIR032C high -> Gene YDL025C high  (1.6667%, 38.4615%)
Gene YDL025C high -> Gene YGL154C high  (1.6667%, 35.7143%)
Gene YGL154C high -> Gene YDL025C high  (1.6667%, 62.5%)
Gene YDL025C high -> Gene YKL023W high  (1.6667%, 35.7143%)
Gene YKL023W high -> Gene YDL025C high  (1.6667%, 55.5556%)
Gene YDL025C high -> Gene YDR262W high  (1.6667%, 35.7143%)
Gene YDR262W high -> Gene YDL025C high  (1.6667%, 55.5556%)
Gene YDL025C high -> Gene YPL202C high  (1.6667%, 35.7143%)
Gene YPL202C high -> Gene YDL025C high  (1.6667%, 71.4286%)
Gene YDL025C high -> Gene YBR169C high  (1.6667%, 35.7143%)
Gene YBR169C high -> Gene YDL025C high  (1.6667%, 31.25%)
Gene YDL025C high -> Gene YGR049W high  (1.6667%, 35.7143%)
Gene YGR049W high -> Gene YDL025C high  (1.6667%, 55.5556%)
Gene YDL025C high -> Gene YPL272C high  (1.6667%, 35.7143%)
Gene YPL272C high -> Gene YDL025C high  (1.6667%, 23.8095%)
Gene YDL025C high -> Gene YKR053C high  (1.6667%, 35.7143%)
Gene YKR053C high -> Gene YDL025C high  (1.6667%, 45.4545%)
Gene YDL025C high -> Gene YBR045C high  (1.6667%, 35.7143%)
Gene YBR045C high -> Gene YDL025C high  (1.6667%, 26.3158%)
Gene YDL025C high -> Gene YKL201C high  (1.6667%, 35.7143%)
Gene YKL201C high -> Gene YDL025C high  (1.6667%, 50%)
Gene YDL025C high -> Gene YGR122C-A high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YMR321C high  (1.6667%, 35.7143%)
Gene YMR321C high -> Gene YDL025C high  (1.6667%, 41.6667%)
Gene YDL025C high -> Gene YOR221C high  (1.6667%, 35.7143%)
Gene YOR221C high -> Gene YDL025C high  (1.6667%, 71.4286%)
Gene YDL025C high -> Gene YBR262C high  (1.6667%, 35.7143%)
Gene YBR262C high -> Gene YDL025C high  (1.6667%, 33.3333%)
Gene YDL025C high -> Gene YGR144W high  (1.6667%, 35.7143%)
Gene YGR144W high -> Gene YDL025C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YPL156C high  (1.6667%, 35.7143%)
Gene YPL156C high -> Gene YDL025C high  (1.6667%, 45.4545%)
Gene YDL025C high -> Gene YPR184W high  (1.6667%, 35.7143%)
Gene YPR184W high -> Gene YDL025C high  (1.6667%, 26.3158%)
Gene YDL025C high -> Gene YLR251W high  (1.6667%, 35.7143%)
Gene YLR251W high -> Gene YDL025C high  (1.6667%, 45.4545%)
Gene YDL025C high -> Gene YER056C high  (1.6667%, 35.7143%)
Gene YER056C high -> Gene YDL025C high  (1.6667%, 50%)
Gene YDL025C high -> Gene YNL229C high  (1.6667%, 35.7143%)
Gene YNL229C high -> Gene YDL025C high  (1.6667%, 62.5%)
Gene YDL025C high -> Gene YDL183C high  (1.6667%, 35.7143%)
Gene YDL183C high -> Gene YDL025C high  (1.6667%, 50%)
Gene YDL025C high -> Gene YOR128C high  (1.6667%, 35.7143%)
Gene YOR128C high -> Gene YDL025C high  (1.6667%, 55.5556%)
Gene YDL025C high -> Gene YCL026C-A high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YPL170W high  (1.6667%, 35.7143%)
Gene YPL170W high -> Gene YDL025C high  (1.6667%, 55.5556%)
Gene YDL025C high -> Gene YBR054W high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YAR061W high  (1.6667%, 35.7143%)
Gene YAR061W high -> Gene YDL025C high  (1.6667%, 50%)
Gene YDL025C high -> Gene YEL075W-A high  (1.6667%, 35.7143%)
Gene YEL075W-A high -> Gene YDL025C high  (1.6667%, 50%)
Gene YDL025C high -> Gene YMR101C high  (1.6667%, 35.7143%)
Gene YMR101C high -> Gene YDL025C high  (1.6667%, 25%)
Gene YDL025C high -> Gene YMR158C-A high  (1.6667%, 35.7143%)
Gene YMR158C-A high -> Gene YDL025C high  (1.6667%, 22.7273%)
Gene YDL025C high -> Gene YGL114W high  (1.6667%, 35.7143%)
Gene YGL114W high -> Gene YDL025C high  (1.6667%, 71.4286%)
Gene YDL025C high -> Gene YDR034W-B high  (1.6667%, 35.7143%)
Gene YDR034W-B high -> Gene YDL025C high  (1.6667%, 25%)
Gene YDL025C high -> Gene YER037W high  (1.6667%, 35.7143%)
Gene YER037W high -> Gene YDL025C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YCL035C high  (1.6667%, 35.7143%)
Gene YCL035C high -> Gene YDL025C high  (1.6667%, 50%)
Gene YDL025C high -> Gene YOL158C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YGR121C high  (1.6667%, 35.7143%)
Gene YGR121C high -> Gene YDL025C high  (1.6667%, 41.6667%)
Gene YDL025C high -> Gene YGR161C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YIL173W high  (1.6667%, 35.7143%)
Gene YIL173W high -> Gene YDL025C high  (1.6667%, 41.6667%)
Gene YDL025C high -> Gene YPL187W high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YNL280C high  (1.6667%, 35.7143%)
Gene YNL280C high -> Gene YDL025C high  (1.6667%, 83.3333%)
Gene YDL025C high -> Gene YFR053C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YDL037C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YBR230C high  (1.6667%, 35.7143%)
Gene YBR230C high -> Gene YDL025C high  (1.6667%, 29.4118%)
Gene YDL025C high -> Gene YJL071W high  (1.6667%, 35.7143%)
Gene YJL071W high -> Gene YDL025C high  (1.6667%, 45.4545%)
Gene YDL025C high -> Gene YDL039C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YLR270W high  (1.6667%, 35.7143%)
Gene YLR270W high -> Gene YDL025C high  (1.6667%, 31.25%)
Gene YDL025C high -> Gene YLR035C-A high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YDR542W high  (1.6667%, 35.7143%)
Gene YDR542W high -> Gene YDL025C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YOR044W high  (1.6667%, 35.7143%)
Gene YOR044W high -> Gene YDL025C high  (1.6667%, 33.3333%)
Gene YDL025C high -> Gene YKR069W high  (1.6667%, 35.7143%)
Gene YKR069W high -> Gene YDL025C high  (1.6667%, 33.3333%)
Gene YDL025C high -> Gene YLR334C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YIL175W high  (1.6667%, 35.7143%)
Gene YIL175W high -> Gene YDL025C high  (1.6667%, 45.4545%)
Gene YDL025C high -> Gene YML054C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YBR053C high  (1.6667%, 35.7143%)
Gene YBR053C high -> Gene YDL025C high  (1.6667%, 41.6667%)
Gene YDL025C high -> Gene YER184C high  (1.6667%, 35.7143%)
Gene YER184C high -> Gene YDL025C high  (1.6667%, 41.6667%)
Gene YDL025C high -> Gene YJL070C high  (1.6667%, 35.7143%)
Gene YJL070C high -> Gene YDL025C high  (1.6667%, 45.4545%)
Gene YDL025C high -> Gene YDR208W high  (1.6667%, 35.7143%)
Gene YDR208W high -> Gene YDL025C high  (1.6667%, 62.5%)
Gene YDL025C high -> Gene YBR218C high  (1.6667%, 35.7143%)
Gene YBR218C high -> Gene YDL025C high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YDR223W high  (1.6667%, 35.7143%)
Gene YDR223W high -> Gene YDL025C high  (1.6667%, 50%)
Gene YDL025C high -> Gene YDR516C high  (1.6667%, 35.7143%)
Gene YDR516C high -> Gene YDL025C high  (1.6667%, 38.4615%)
Gene YDL025C high -> Gene YHR112C high  (1.6667%, 35.7143%)
Gene YHR112C high -> Gene YDL025C high  (1.6667%, 83.3333%)
Gene YDL025C high -> Gene YGL263W high  (1.6667%, 35.7143%)
Gene YDL025C high -> Gene YGL215W high  (1.3333%, 28.5714%)
Gene YGL215W high -> Gene YDL025C high  (1.3333%, 26.6667%)
Gene YDL025C high -> Gene YER054C high  (1.3333%, 28.5714%)
Gene YER054C high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YGL162W high  (1.3333%, 28.5714%)
Gene YGL162W high -> Gene YDL025C high  (1.3333%, 66.6667%)
Gene YDL025C high -> Gene YLL060C high  (1.3333%, 28.5714%)
Gene YLL060C high -> Gene YDL025C high  (1.3333%, 22.2222%)
Gene YDL025C high -> Gene YLR346C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YJL016W high  (1.3333%, 28.5714%)
Gene YJL016W high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YLR012C high  (1.3333%, 28.5714%)
Gene YLR012C high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YCR021C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YMR085W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YLR142W high  (1.3333%, 28.5714%)
Gene YLR142W high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YEL065W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YJL103C high  (1.3333%, 28.5714%)
Gene YJL103C high -> Gene YDL025C high  (1.3333%, 40%)
Gene YDL025C high -> Gene YML091C high  (1.3333%, 28.5714%)
Gene YML091C high -> Gene YDL025C high  (1.3333%, 30.7692%)
Gene YDL025C high -> Gene YKL121W high  (1.3333%, 28.5714%)
Gene YKL121W high -> Gene YDL025C high  (1.3333%, 33.3333%)
Gene YDL025C high -> Gene YNL293W high  (1.3333%, 28.5714%)
Gene YNL293W high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YJR153W high  (1.3333%, 28.5714%)
Gene YJR153W high -> Gene YDL025C high  (1.3333%, 44.4444%)
Gene YDL025C high -> Gene YCL009C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YGR177C high  (1.3333%, 28.5714%)
Gene YGR177C high -> Gene YDL025C high  (1.3333%, 30.7692%)
Gene YDL025C high -> Gene YOL082W high  (1.3333%, 28.5714%)
Gene YOL082W high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YIL108W high  (1.3333%, 28.5714%)
Gene YIL108W high -> Gene YDL025C high  (1.3333%, 25%)
Gene YDL025C high -> Gene YNL111C high  (1.3333%, 28.5714%)
Gene YNL111C high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YDR018C high  (1.3333%, 28.5714%)
Gene YDR018C high -> Gene YDL025C high  (1.3333%, 21.0526%)
Gene YDL025C high -> Gene YKL065C high  (1.3333%, 28.5714%)
Gene YKL065C high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YOR120W high  (1.3333%, 28.5714%)
Gene YOR120W high -> Gene YDL025C high  (1.3333%, 30.7692%)
Gene YDL025C high -> Gene YER067W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YDR032C high  (1.3333%, 28.5714%)
Gene YDR032C high -> Gene YDL025C high  (1.3333%, 21.0526%)
Gene YDL025C high -> Gene YKR009C high  (1.3333%, 28.5714%)
Gene YKR009C high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YEL041W high  (1.3333%, 28.5714%)
Gene YEL041W high -> Gene YDL025C high  (1.3333%, 66.6667%)
Gene YDL025C high -> Gene YBR083W high  (1.3333%, 28.5714%)
Gene YBR083W high -> Gene YDL025C high  (1.3333%, 44.4444%)
Gene YDL025C high -> Gene YBR280C high  (1.3333%, 28.5714%)
Gene YBR280C high -> Gene YDL025C high  (1.3333%, 57.1429%)
Gene YDL025C high -> Gene YOL013W-A high  (1.3333%, 28.5714%)
Gene YOL013W-A high -> Gene YDL025C high  (1.3333%, 44.4444%)
Gene YDL025C high -> Gene YFR025C high  (1.3333%, 28.5714%)
Gene YFR025C high -> Gene YDL025C high  (1.3333%, 66.6667%)
Gene YDL025C high -> Gene YNR075W high  (1.3333%, 28.5714%)
Gene YNR075W high -> Gene YDL025C high  (1.3333%, 40%)
Gene YDL025C high -> Gene YHL048W high  (1.3333%, 28.5714%)
Gene YHL048W high -> Gene YDL025C high  (1.3333%, 33.3333%)
Gene YDL025C high -> Gene YLL064C high  (1.3333%, 28.5714%)
Gene YLL064C high -> Gene YDL025C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YMR042W high  (1.3333%, 28.5714%)
Gene YMR042W high -> Gene YDL025C high  (1.3333%, 26.6667%)
Gene YDL025C high -> Gene YLR101C high  (1.3333%, 28.5714%)
Gene YLR101C high -> Gene YDL025C high  (1.3333%, 40%)
Gene YDL025C high -> Gene YLL047W high  (1.3333%, 28.5714%)
Gene YLL047W high -> Gene YDL025C high  (1.3333%, 30.7692%)
Gene YDL025C high -> Gene YOL151W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YOR036W high  (1.3333%, 28.5714%)
Gene YOR036W high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YEL057C high  (1.3333%, 28.5714%)
Gene YEL057C high -> Gene YDL025C high  (1.3333%, 30.7692%)
Gene YDL025C high -> Gene YEL075C high  (1.3333%, 28.5714%)
Gene YEL075C high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YHR199C high  (1.3333%, 28.5714%)
Gene YHR199C high -> Gene YDL025C high  (1.3333%, 26.6667%)
Gene YDL025C high -> Gene YCR023C high  (1.3333%, 28.5714%)
Gene YCR023C high -> Gene YDL025C high  (1.3333%, 80%)
Gene YDL025C high -> Gene YHR104W high  (1.3333%, 28.5714%)
Gene YHR104W high -> Gene YDL025C high  (1.3333%, 25%)
Gene YDL025C high -> Gene YDR178W high  (1.3333%, 28.5714%)
Gene YDR178W high -> Gene YDL025C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YEL029C high  (1.3333%, 28.5714%)
Gene YEL029C high -> Gene YDL025C high  (1.3333%, 80%)
Gene YDL025C high -> Gene YPL110C high  (1.3333%, 28.5714%)
Gene YPL110C high -> Gene YDL025C high  (1.3333%, 33.3333%)
Gene YDL025C high -> Gene YHR092C high  (1.3333%, 28.5714%)
Gene YHR092C high -> Gene YDL025C high  (1.3333%, 21.0526%)
Gene YDL025C high -> Gene YBR301W high  (1.3333%, 28.5714%)
Gene YBR301W high -> Gene YDL025C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YDL171C high  (1.3333%, 28.5714%)
Gene YDL171C high -> Gene YDL025C high  (1.3333%, 40%)
Gene YDL025C high -> Gene YPL230W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YDL124W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YNL274C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YER061C high  (1.3333%, 28.5714%)
Gene YER061C high -> Gene YDL025C high  (1.3333%, 66.6667%)
Gene YDL025C high -> Gene YER144C high  (1.3333%, 28.5714%)
Gene YER144C high -> Gene YDL025C high  (1.3333%, 23.5294%)
Gene YDL025C high -> Gene YAL060W high  (1.3333%, 28.5714%)
Gene YAL060W high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YJL160C high  (1.3333%, 28.5714%)
Gene YJL160C high -> Gene YDL025C high  (1.3333%, 57.1429%)
Gene YDL025C high -> Gene YCL020W high  (1.3333%, 28.5714%)
Gene YCL020W high -> Gene YDL025C high  (1.3333%, 25%)
Gene YDL025C high -> Gene YPL165C high  (1.3333%, 28.5714%)
Gene YPL165C high -> Gene YDL025C high  (1.3333%, 80%)
Gene YDL025C high -> Gene YOR385W high  (1.3333%, 28.5714%)
Gene YOR385W high -> Gene YDL025C high  (1.3333%, 26.6667%)
Gene YDL025C high -> Gene YDR540C high  (1.3333%, 28.5714%)
Gene YDR540C high -> Gene YDL025C high  (1.3333%, 57.1429%)
Gene YDL025C high -> Gene YDL245C high  (1.3333%, 28.5714%)
Gene YDL245C high -> Gene YDL025C high  (1.3333%, 30.7692%)
Gene YDL025C high -> Gene YHL035C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YOR215C high  (1.3333%, 28.5714%)
Gene YOR215C high -> Gene YDL025C high  (1.3333%, 44.4444%)
Gene YDL025C high -> Gene YHR136C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YLR258W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YML047C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YDR040C high  (1.3333%, 28.5714%)
Gene YDR040C high -> Gene YDL025C high  (1.3333%, 100%)
Gene YDL025C high -> Gene YEL045C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YOR173W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YKL050C high  (1.3333%, 28.5714%)
Gene YKL050C high -> Gene YDL025C high  (1.3333%, 40%)
Gene YDL025C high -> Gene YGR180C high  (1.3333%, 28.5714%)
Gene YGR180C high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YJL172W high  (1.3333%, 28.5714%)
Gene YJL172W high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YGL045W high  (1.3333%, 28.5714%)
Gene YGL045W high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YHL016C high  (1.3333%, 28.5714%)
Gene YHL016C high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YCL027W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YKL133C high  (1.3333%, 28.5714%)
Gene YKL133C high -> Gene YDL025C high  (1.3333%, 40%)
Gene YDL025C high -> Gene YHR051W high  (1.3333%, 28.5714%)
Gene YHR051W high -> Gene YDL025C high  (1.3333%, 66.6667%)
Gene YDL025C high -> Gene YKL106W high  (1.3333%, 28.5714%)
Gene YKL106W high -> Gene YDL025C high  (1.3333%, 44.4444%)
Gene YDL025C high -> Gene YGR237C high  (1.3333%, 28.5714%)
Gene YGR237C high -> Gene YDL025C high  (1.3333%, 80%)
Gene YDL025C high -> Gene YKL104C high  (1.3333%, 28.5714%)
Gene YKL104C high -> Gene YDL025C high  (1.3333%, 21.0526%)
Gene YDL025C high -> Gene YAL015C high  (1.3333%, 28.5714%)
Gene YAL015C high -> Gene YDL025C high  (1.3333%, 80%)
Gene YDL025C high -> Gene YAR015W high  (1.3333%, 28.5714%)
Gene YAR015W high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YNL093W high  (1.3333%, 28.5714%)
Gene YNL093W high -> Gene YDL025C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YJL221C high  (1.3333%, 28.5714%)
Gene YJL221C high -> Gene YDL025C high  (1.3333%, 36.3636%)
Gene YDL025C high -> Gene YNL014W high  (1.3333%, 28.5714%)
Gene YNL014W high -> Gene YDL025C high  (1.3333%, 100%)
Gene YDL025C high -> Gene YNL004W high  (1.3333%, 28.5714%)
Gene YNL004W high -> Gene YDL025C high  (1.3333%, 80%)
Gene YDL025C high -> Gene YGR294W high  (1.3333%, 28.5714%)
Gene YGR294W high -> Gene YDL025C high  (1.3333%, 30.7692%)
Gene YDL025C high -> Gene YMR066W high  (1.3333%, 28.5714%)
Gene YMR066W high -> Gene YDL025C high  (1.3333%, 66.6667%)
Gene YDL025C high -> Gene YDL110C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YDR204W high  (1.3333%, 28.5714%)
Gene YDR204W high -> Gene YDL025C high  (1.3333%, 80%)
Gene YDL025C high -> Gene YML118W high  (1.3333%, 28.5714%)
Gene YML118W high -> Gene YDL025C high  (1.3333%, 21.0526%)
Gene YDL025C high -> Gene YOL104C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YDR343C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YKR039W high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YMR251W-A high  (1.3333%, 28.5714%)
Gene YMR251W-A high -> Gene YDL025C high  (1.3333%, 21.0526%)
Gene YDL025C high -> Gene YBR126C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YOR222W high  (1.3333%, 28.5714%)
Gene YOR222W high -> Gene YDL025C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YCR007C high  (1.3333%, 28.5714%)
Gene YCR007C high -> Gene YDL025C high  (1.3333%, 66.6667%)
Gene YDL025C high -> Gene YML008C high  (1.3333%, 28.5714%)
Gene YML008C high -> Gene YDL025C high  (1.3333%, 40%)
Gene YDL025C high -> Gene YFL019C high  (1.3333%, 28.5714%)
Gene YFL019C high -> Gene YDL025C high  (1.3333%, 23.5294%)
Gene YDL025C high -> Gene YKR019C high  (1.3333%, 28.5714%)
Gene YKR019C high -> Gene YDL025C high  (1.3333%, 44.4444%)
Gene YDL025C high -> Gene YJR023C high  (1.3333%, 28.5714%)
Gene YJR023C high -> Gene YDL025C high  (1.3333%, 57.1429%)
Gene YDL025C high -> Gene YIR027C high  (1.3333%, 28.5714%)
Gene YIR027C high -> Gene YDL025C high  (1.3333%, 23.5294%)
Gene YDL025C high -> Gene YJL060W high  (1.3333%, 28.5714%)
Gene YJL060W high -> Gene YDL025C high  (1.3333%, 44.4444%)
Gene YDL025C high -> Gene YGL001C high  (1.3333%, 28.5714%)
Gene YGL001C high -> Gene YDL025C high  (1.3333%, 57.1429%)
Gene YDL025C high -> Gene YOR328W high  (1.3333%, 28.5714%)
Gene YOR328W high -> Gene YDL025C high  (1.3333%, 33.3333%)
Gene YDL025C high -> Gene YCR005C high  (1.3333%, 28.5714%)
Gene YDL025C high -> Gene YLR100W high  (1.3333%, 28.5714%)
Gene YLR100W high -> Gene YDL025C high  (1.3333%, 50%)
Gene YDL025C high -> Gene YGR194C high  (1.3333%, 28.5714%)
Gene YGR194C high -> Gene YDL025C high  (1.3333%, 33.3333%)
Gene YDL025C high -> Gene YLR302C high  (1.3333%, 28.5714%)
Gene YLR302C high -> Gene YDL025C high  (1.3333%, 21.0526%)
Gene YDL025C high -> Gene YMR134W high  (1.3333%, 28.5714%)
Gene YMR134W high -> Gene YDL025C high  (1.3333%, 40%)
Gene YDL025C high -> Gene YER048C high  (1%, 21.4286%)
Gene YER048C high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YPR010C high  (1%, 21.4286%)
Gene YPR010C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YJL031C high  (1%, 21.4286%)
Gene YJL031C high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YJL084C high  (1%, 21.4286%)
Gene YJL084C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YHR176W high  (1%, 21.4286%)
Gene YHR176W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YMR020W high  (1%, 21.4286%)
Gene YMR020W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YML087C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YLR281C high  (1%, 21.4286%)
Gene YLR281C high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YIR007W high  (1%, 21.4286%)
Gene YIR007W high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YGL138C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YOR105W high  (1%, 21.4286%)
Gene YOR105W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YMR256C high  (1%, 21.4286%)
Gene YMR256C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YDL114W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YER060W high  (1%, 21.4286%)
Gene YER060W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YIL065C high  (1%, 21.4286%)
Gene YIL065C high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YGR067C high  (1%, 21.4286%)
Gene YGR067C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YLR387C high  (1%, 21.4286%)
Gene YLR387C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YIR016W high  (1%, 21.4286%)
Gene YIR016W high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YHR124W high  (1%, 21.4286%)
Gene YHR124W high -> Gene YDL025C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YPL177C high  (1%, 21.4286%)
Gene YPL177C high -> Gene YDL025C high  (1%, 100%)
Gene YDL025C high -> Gene YAL020C high  (1%, 21.4286%)
Gene YAL020C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YIL045W high  (1%, 21.4286%)
Gene YIL045W high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YKL043W high  (1%, 21.4286%)
Gene YKL043W high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YOR387C high  (1%, 21.4286%)
Gene YOR387C high -> Gene YDL025C high  (1%, 23.0769%)
Gene YDL025C high -> Gene YMR238W high  (1%, 21.4286%)
Gene YMR238W high -> Gene YDL025C high  (1%, 23.0769%)
Gene YDL025C high -> Gene YER121W high  (1%, 21.4286%)
Gene YER121W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YCR073W-A high  (1%, 21.4286%)
Gene YCR073W-A high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YDL059C high  (1%, 21.4286%)
Gene YDL059C high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YOR049C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YML083C high  (1%, 21.4286%)
Gene YML083C high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YEL070W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YPR150W high  (1%, 21.4286%)
Gene YPR150W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YKL223W high  (1%, 21.4286%)
Gene YKL223W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YPL091W high  (1%, 21.4286%)
Gene YPL091W high -> Gene YDL025C high  (1%, 100%)
Gene YDL025C high -> Gene YIR035C high  (1%, 21.4286%)
Gene YIR035C high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YCR102W-A high  (1%, 21.4286%)
Gene YDL025C high -> Gene YOR386W high  (1%, 21.4286%)
Gene YOR386W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YFL011W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YOL156W high  (1%, 21.4286%)
Gene YOL156W high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YPL057C high  (1%, 21.4286%)
Gene YPL057C high -> Gene YDL025C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YKL198C high  (1%, 21.4286%)
Gene YKL198C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YLR345W high  (1%, 21.4286%)
Gene YLR345W high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YGL163C high  (1%, 21.4286%)
Gene YGL163C high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YDR341C high  (1%, 21.4286%)
Gene YDR341C high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YLR240W high  (1%, 21.4286%)
Gene YLR240W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YAR027W high  (1%, 21.4286%)
Gene YAR027W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YHR001W-A high  (1%, 21.4286%)
